FUNCTION DEPLOYMENT TIMELINE
============================

Report generated: 2025-07-18 13:26:30

Total deployment events: 246
Number of node-function combinations: 116

Event Type Summary:
  Deployment events: 3
  Replica events: 164
  Network events: 79

CHRONOLOGICAL TIMELINE
======================

t=   0.0s | deployment | global               | resnet50-inference        | deploy resnet50-inference
t=   0.0s | deployment | global               | speech-inference          | deploy speech-inference
t=   0.0s | deployment | global               | resnet50-preprocessing    | deploy resnet50-preprocessing
t=   0.0s | replica    | tx2_11               | resnet50-inference        | deploy replica of resnet50-inference
t=   1.0s | replica    | rockpi_18            | speech-inference          | deploy replica of speech-inference
t=   2.0s | replica    | rockpi_18            | resnet50-preprocessing    | deploy replica of resnet50-preprocessing
t=   2.0s | network    | registry → rockpi_18 | unknown                   | docker_pull (38.1 MB)
t=   2.1s | network    | registry → tx2_11    | unknown                   | docker_pull (95.4 MB)
t=   2.2s | network    | nuc_10 → rockpi_18   | unknown                   | data_download (45.8 MB)
t=   2.3s | network    | nuc_10 → tx2_11      | unknown                   | data_download (98.2 MB)
t=   2.4s | network    | registry → rockpi_18 | unknown                   | docker_pull (182.2 MB)
t=   2.5s | network    | registry → rpi4_0    | unknown                   | docker_pull (31.5 MB)
t=   2.6s | network    | nuc_10 → rpi4_0      | unknown                   | data_download (45.8 MB)
t=   2.7s | network    | registry → nano_12   | unknown                   | docker_pull (95.4 MB)
t=   2.8s | network    | nuc_10 → nano_12     | unknown                   | data_download (98.2 MB)
t=   2.9s | network    | registry → rpi4_1    | unknown                   | docker_pull (31.5 MB)
t=   3.0s | replica    | rockpi_18            | speech-inference          | startup replica of speech-inference
t=   3.0s | network    | nuc_10 → rpi4_1      | unknown                   | data_download (45.8 MB)
t=   3.1s | network    | registry → nano_21   | unknown                   | docker_pull (95.4 MB)
t=   3.2s | network    | nuc_10 → nano_21     | unknown                   | data_download (98.2 MB)
t=   3.3s | network    | registry → coral_9   | unknown                   | docker_pull (38.1 MB)
