FUNCTION DEPLOYMENT TIMELINE
============================

Report generated: 2025-07-18 13:47:59

Total deployment events: 3096
Number of node-function combinations: 1291

Event Type Summary:
  Deployment events: 23
  Replica events: 1820
  Network events: 1253

CHRONOLOGICAL TIMELINE
======================

t=   0.0s | deployment | global               | resnet50-inference        | deploy resnet50-inference
t=   0.0s | deployment | global               | resnet50-inference-downtown | deploy resnet50-inference-downtown
t=   0.0s | deployment | global               | resnet50-inference-suburb | deploy resnet50-inference-suburb
t=   0.0s | deployment | global               | resnet50-inference-industrial | deploy resnet50-inference-industrial
t=   0.0s | deployment | global               | resnet50-inference-residential | deploy resnet50-inference-residential
t=   0.0s | deployment | global               | resnet50-inference-commercial | deploy resnet50-inference-commercial
t=   0.0s | deployment | global               | resnet50-inference-airport | deploy resnet50-inference-airport
t=   0.0s | deployment | global               | resnet50-inference-port   | deploy resnet50-inference-port
t=   0.0s | deployment | global               | speech-inference          | deploy speech-inference
t=   0.0s | deployment | global               | speech-inference-downtown | deploy speech-inference-downtown
t=   0.0s | deployment | global               | speech-inference-suburb   | deploy speech-inference-suburb
t=   0.0s | deployment | global               | speech-inference-industrial | deploy speech-inference-industrial
t=   0.0s | deployment | global               | speech-inference-residential | deploy speech-inference-residential
t=   0.0s | deployment | global               | speech-inference-commercial | deploy speech-inference-commercial
t=   0.0s | deployment | global               | speech-inference-airport  | deploy speech-inference-airport
t=   0.0s | deployment | global               | resnet50-preprocessing    | deploy resnet50-preprocessing
t=   0.0s | deployment | global               | resnet50-preprocessing-downtown | deploy resnet50-preprocessing-downtown
t=   0.0s | deployment | global               | resnet50-preprocessing-suburb | deploy resnet50-preprocessing-suburb
t=   0.0s | deployment | global               | resnet50-preprocessing-industrial | deploy resnet50-preprocessing-industrial
t=   0.0s | deployment | global               | resnet50-preprocessing-residential | deploy resnet50-preprocessing-residential
t=   0.0s | deployment | global               | resnet50-training         | deploy resnet50-training
t=   0.0s | deployment | global               | resnet50-training-downtown | deploy resnet50-training-downtown
t=   0.0s | deployment | global               | resnet50-training-suburb  | deploy resnet50-training-suburb
t=   0.0s | replica    | tx2_225              | resnet50-inference        | deploy replica of resnet50-inference
t=   1.0s | replica    | nano_604             | resnet50-inference-downtown | deploy replica of resnet50-inference-downtown
t=   2.0s | replica    | nano_692             | resnet50-inference-suburb | deploy replica of resnet50-inference-suburb
t=   2.0s | network    | registry → rockpi_584 | unknown                   | docker_pull (38.1 MB)
t=   2.1s | network    | registry → rockpi_18 | unknown                   | docker_pull (38.1 MB)
t=   2.2s | network    | registry → tx2_225   | unknown                   | docker_pull (95.4 MB)
t=   2.3s | network    | registry → nano_604  | unknown                   | docker_pull (95.4 MB)
t=   2.4s | network    | registry → rockpi_359 | unknown                   | docker_pull (38.1 MB)
t=   2.5s | network    | registry → nano_692  | unknown                   | docker_pull (95.4 MB)
t=   2.6s | network    | registry → nano_827  | unknown                   | docker_pull (95.4 MB)
t=   2.7s | network    | registry → nano_857  | unknown                   | docker_pull (95.4 MB)
t=   2.8s | network    | registry → tx2_0     | unknown                   | docker_pull (95.4 MB)
t=   2.9s | network    | registry → tx2_1     | unknown                   | docker_pull (95.4 MB)
t=   3.0s | replica    | nano_827             | resnet50-inference-industrial | deploy replica of resnet50-inference-industrial
t=   3.0s | network    | registry → tx2_2     | unknown                   | docker_pull (95.4 MB)
t=   3.1s | network    | registry → rockpi_549 | unknown                   | docker_pull (38.1 MB)
t=   3.2s | network    | registry → nano_178  | unknown                   | docker_pull (95.4 MB)
t=   3.3s | network    | registry → nano_229  | unknown                   | docker_pull (95.4 MB)
t=   3.4s | network    | registry → nano_339  | unknown                   | docker_pull (95.4 MB)
t=   3.5s | network    | registry → rockpi_455 | unknown                   | docker_pull (182.2 MB)
t=   3.6s | network    | registry → rockpi_197 | unknown                   | docker_pull (182.2 MB)
t=   3.7s | network    | registry → rockpi_549 | unknown                   | docker_pull (182.2 MB)
