t_wait,t_exec,t_start,memory,function_name,function_image,node,replica_id
0.0,0.1316638688142966,4.6094164452279545,134217728,python-pi,python-pi-cpu,server_0,140191910902992
0.0,0.05820497849188122,8.332223020292533,3221225472,resnet50-inference,resnet50-inference-gpu,server_0,140191910566064
0.0,0.1420117852007312,11.403290176607172,134217728,python-pi,python-pi-cpu,server_0,140191910900640
0.0,0.1438608987405452,14.446238084157102,134217728,python-pi,python-pi-cpu,server_0,140191910902992
0.0,0.050896931254516886,18.833466556423158,3221225472,resnet50-inference,resnet50-inference-gpu,server_0,140191910566064
0.0,0.09942424486178325,22.24523442578801,134217728,python-pi,python-pi-cpu,server_0,140191910900640
0.0,0.1214241106436873,25.19318975477731,134217728,python-pi,python-pi-cpu,server_0,140191910902992
0.0,0.05532089158212372,28.691132985409006,3221225472,resnet50-inference,resnet50-inference-gpu,server_0,140191910566064
0.0,0.10562629750363683,30.941374870191684,134217728,python-pi,python-pi-cpu,server_0,140191910900640
0.0,0.14423851333010163,35.16394229696875,134217728,python-pi,python-pi-cpu,server_0,140191910902992
0.0,0.09970913684473715,38.69131204684512,134217728,python-pi,python-pi-cpu,server_0,140191910900640
0.0,0.12954705971985447,43.21380054373896,134217728,python-pi,python-pi-cpu,server_0,140191910902992
0.0,0.0944020309274336,46.47801005343352,134217728,python-pi,python-pi-cpu,server_0,140191910900640
0.0,0.06355483311888577,51.37300427405564,3221225472,resnet50-inference,resnet50-inference-gpu,server_0,140191910566064
0.0,0.04661513597793032,54.91950477714545,3221225472,resnet50-inference,resnet50-inference-gpu,server_0,140191910566064
0.0,0.056565089991941875,59.46725223708165,3221225472,resnet50-inference,resnet50-inference-gpu,server_0,140191910566064
0.0,0.06178677244218278,62.605656770748446,3221225472,resnet50-inference,resnet50-inference-gpu,server_0,140191910566064
0.0,0.054759539874488894,63.838602958678386,3221225472,resnet50-inference,resnet50-inference-gpu,server_0,140191910566064
0.0,0.060055172082634556,63.838602958678386,3221225472,resnet50-inference,resnet50-inference-gpu,server_0,140191910566064
0.0,0.12788176620954061,63.838602958678386,134217728,python-pi,python-pi-cpu,server_0,140191910900640
0.0,0.21250811775477274,63.838602958678386,134217728,python-pi,python-pi-cpu,server_0,140191910902992
0.0,0.06577824712123004,64.64996041305594,3221225472,resnet50-inference,resnet50-inference-gpu,server_0,140191910566064
0.0,0.14415867028387197,64.64996041305594,134217728,python-pi,python-pi-cpu,server_0,140191910902992
0.0,0.15060135895049598,64.64996041305594,134217728,python-pi,python-pi-cpu,server_0,140191910900640
0.0,0.21483394563436775,64.64996041305594,134217728,python-pi,python-pi-cpu,server_0,140191910902992
0.0,0.10636289853975711,65.28679296674152,134217728,python-pi,python-pi-cpu,server_0,140191910902992
0.0,0.14648245090474177,65.28679296674152,134217728,python-pi,python-pi-cpu,server_0,140191910900640
0.0,0.21402456453628815,65.28679296674152,134217728,python-pi,python-pi-cpu,server_0,140191910900640
0.0,0.23039130991131174,65.28679296674152,134217728,python-pi,python-pi-cpu,server_0,140191910902992
0.0,0.06513547221388194,66.15238035592755,3221225472,resnet50-inference,resnet50-inference-gpu,server_0,140191910566064
0.0,0.1661999145114379,66.15238035592755,134217728,python-pi,python-pi-cpu,server_0,140191910900640
0.0,0.05422830666391576,67.25134822729409,3221225472,resnet50-inference,resnet50-inference-gpu,server_0,140191910566064
0.0,0.12628492399838365,67.25134822729409,134217728,python-pi,python-pi-cpu,server_0,140191910902992
0.0,0.14605546013839898,67.25134822729409,134217728,python-pi,python-pi-cpu,server_0,140191910900640
0.0,0.19407887722150008,67.25134822729409,134217728,python-pi,python-pi-cpu,server_0,140191910902992
0.0,0.06496341844093934,68.57201028232132,3221225472,resnet50-inference,resnet50-inference-gpu,server_0,140191910566064
0.0,0.2109233928060803,68.57201028232132,134217728,python-pi,python-pi-cpu,server_0,140191910900640
0.0,0.13108837352710623,69.50372058388416,134217728,python-pi,python-pi-cpu,server_0,140191910900640
0.0,0.16201861635796888,69.50372058388416,134217728,python-pi,python-pi-cpu,server_0,140191910902992
0.0,0.20937623172093822,69.50372058388416,134217728,python-pi,python-pi-cpu,server_0,140191910902992
0.0,0.0585915803859649,70.50648994439787,3221225472,resnet50-inference,resnet50-inference-gpu,server_0,140191910566064
0.0,0.10362230232405523,70.50648994439787,134217728,python-pi,python-pi-cpu,server_0,140191910900640
0.0,0.17787810061520304,70.50648994439787,134217728,python-pi,python-pi-cpu,server_0,140191910902992
0.0,0.19104716405732347,70.50648994439787,134217728,python-pi,python-pi-cpu,server_0,140191910900640
0.0,0.048142208054528624,71.65003241159644,3221225472,resnet50-inference,resnet50-inference-gpu,server_0,140191910566064
0.0,0.06465696080294947,71.65003241159644,3221225472,resnet50-inference,resnet50-inference-gpu,server_0,140191910566064
0.0,0.20056667964838937,71.65003241159644,134217728,python-pi,python-pi-cpu,server_0,140191910902992
0.0,0.050599608110786676,72.54641255869886,3221225472,resnet50-inference,resnet50-inference-gpu,server_0,140191910566064
0.0,0.057041861633081226,72.54641255869886,3221225472,resnet50-inference,resnet50-inference-gpu,server_0,140191910566064
0.0,0.21071771753553037,72.54641255869886,134217728,python-pi,python-pi-cpu,server_0,140191910900640
0.0,0.05487632086865801,73.48502589984662,3221225472,resnet50-inference,resnet50-inference-gpu,server_0,140191910566064
0.0,0.132192369340558,73.48502589984662,134217728,python-pi,python-pi-cpu,server_0,140191910900640
0.0,0.13553939749313315,73.48502589984662,134217728,python-pi,python-pi-cpu,server_0,140191910902992
0.0,0.0608205616352393,74.2839721236608,3221225472,resnet50-inference,resnet50-inference-gpu,server_0,140191910566064
0.0,0.06467195622970223,74.2839721236608,3221225472,resnet50-inference,resnet50-inference-gpu,server_0,140191910566064
0.0,0.12275037118200771,74.2839721236608,134217728,python-pi,python-pi-cpu,server_0,140191910900640
0.0,0.16579572708482715,74.2839721236608,134217728,python-pi,python-pi-cpu,server_0,140191910902992
0.0,0.061847524953250854,75.2534699468091,3221225472,resnet50-inference,resnet50-inference-gpu,server_0,140191910566064
0.0,0.15384906081385452,75.2534699468091,134217728,python-pi,python-pi-cpu,server_0,140191910900640
0.0,0.18605840943207852,75.2534699468091,134217728,python-pi,python-pi-cpu,server_0,140191910902992
0.0,0.1380509858719421,76.44659053746936,134217728,python-pi,python-pi-cpu,server_0,140191910902992
0.0,0.1520467965002723,76.44659053746936,134217728,python-pi,python-pi-cpu,server_0,140191910900640
0.0,0.20069114019838707,76.44659053746936,134217728,python-pi,python-pi-cpu,server_0,140191910902992
0.0,0.0553065180021548,77.31949729200642,3221225472,resnet50-inference,resnet50-inference-gpu,server_0,140191910566064
0.0,0.2032453106237142,77.31949729200642,134217728,python-pi,python-pi-cpu,server_0,140191910900640
0.0,0.04915151470549972,78.58316162600643,3221225472,resnet50-inference,resnet50-inference-gpu,server_0,140191910566064
0.0,0.05559550910132316,78.58316162600643,3221225472,resnet50-inference,resnet50-inference-gpu,server_0,140191910566064
