value,name,image,function_id,node
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139685364329840,tx2_11
deploy,speech-inference,faas-workloads/speech-inference-tflite,139685364331280,rockpi_18
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139685364332192,rockpi_18
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139685364329840,nano_12
deploy,speech-inference,faas-workloads/speech-inference-tflite,139685364331280,rpi4_0
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139685364329840,nano_21
deploy,speech-inference,faas-workloads/speech-inference-tflite,139685364331280,rpi4_1
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139685364329840,nano_46
deploy,speech-inference,faas-workloads/speech-inference-tflite,139685364331280,coral_9
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139685364329840,tx2_0
deploy,speech-inference,faas-workloads/speech-inference-tflite,139685364331280,coral_11
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139685364329840,tx2_1
deploy,speech-inference,faas-workloads/speech-inference-tflite,139685364331280,rpi4_4
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139685364329840,nx_4
deploy,speech-inference,faas-workloads/speech-inference-tflite,139685364331280,rpi4_5
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139685364329840,tx2_5
deploy,speech-inference,faas-workloads/speech-inference-tflite,139685364331280,rpi4_12
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139685364329840,nano_18
deploy,speech-inference,faas-workloads/speech-inference-tflite,139685364331280,rpi4_13
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139685364329840,nano_43
deploy,speech-inference,faas-workloads/speech-inference-tflite,139685364331280,nx_4
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139685364329840,nano_48
deploy,speech-inference,faas-workloads/speech-inference-tflite,139685364331280,coral_6
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139685364329840,nano_49
deploy,speech-inference,faas-workloads/speech-inference-tflite,139685364331280,rockpi_16
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139685364329840,tx2_13
deploy,speech-inference,faas-workloads/speech-inference-tflite,139685364331280,rockpi_16
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139685364329840,tx2_19
deploy,speech-inference,faas-workloads/speech-inference-tflite,139685364331280,rockpi_5
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139685364329840,nano_31
deploy,speech-inference,faas-workloads/speech-inference-tflite,139685364331280,rockpi_5
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139685364329840,nano_37
deploy,speech-inference,faas-workloads/speech-inference-tflite,139685364331280,rpi3_3
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139685364329840,nano_50
deploy,speech-inference,faas-workloads/speech-inference-tflite,139685364331280,rpi3_4
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139685364329840,nano_52
deploy,speech-inference,faas-workloads/speech-inference-tflite,139685364331280,rpi3_5
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139685364329840,tx2_4
deploy,speech-inference,faas-workloads/speech-inference-tflite,139685364331280,rpi4_2
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139685364329840,nano_15
deploy,speech-inference,faas-workloads/speech-inference-tflite,139685364331280,rpi4_3
