value,function_name,node_name,replica_id
deploy,resnet50-inference,tx2_11,139685364198432
deploy,speech-inference,rockpi_18,139685364199296
deploy,resnet50-preprocessing,rockpi_18,139685362394272
startup,speech-inference,rockpi_18,139685364199296
setup,speech-inference,rockpi_18,139685364199296
startup,resnet50-inference,tx2_11,139685364198432
setup,resnet50-inference,tx2_11,139685364198432
finish,speech-inference,rockpi_18,139685364199296
finish,resnet50-inference,tx2_11,139685364198432
startup,resnet50-preprocessing,rockpi_18,139685362394272
setup,resnet50-preprocessing,rockpi_18,139685362394272
finish,resnet50-preprocessing,rockpi_18,139685362394272
deploy,resnet50-inference,nano_12,139685358911392
deploy,speech-inference,rpi4_0,139685357178544
startup,speech-inference,rpi4_0,139685357178544
setup,speech-inference,rpi4_0,139685357178544
finish,speech-inference,rpi4_0,139685357178544
startup,resnet50-inference,nano_12,139685358911392
setup,resnet50-inference,nano_12,139685358911392
finish,resnet50-inference,nano_12,139685358911392
deploy,resnet50-inference,nano_21,139685349361696
deploy,speech-inference,rpi4_1,139685349594864
startup,speech-inference,rpi4_1,139685349594864
setup,speech-inference,rpi4_1,139685349594864
finish,speech-inference,rpi4_1,139685349594864
startup,resnet50-inference,nano_21,139685349361696
setup,resnet50-inference,nano_21,139685349361696
finish,resnet50-inference,nano_21,139685349361696
deploy,resnet50-inference,nano_46,139685339595008
deploy,speech-inference,coral_9,139685339828176
startup,speech-inference,coral_9,139685339828176
setup,speech-inference,coral_9,139685339828176
finish,speech-inference,coral_9,139685339828176
startup,resnet50-inference,nano_46,139685339595008
setup,resnet50-inference,nano_46,139685339595008
finish,resnet50-inference,nano_46,139685339595008
deploy,resnet50-inference,tx2_0,139685330046160
deploy,speech-inference,coral_11,139685330230176
startup,speech-inference,coral_11,139685330230176
setup,speech-inference,coral_11,139685330230176
finish,speech-inference,coral_11,139685330230176
startup,resnet50-inference,tx2_0,139685330046160
setup,resnet50-inference,tx2_0,139685330046160
finish,resnet50-inference,tx2_0,139685330046160
deploy,resnet50-inference,tx2_1,139685322455456
deploy,speech-inference,rpi4_4,139685320706224
startup,speech-inference,rpi4_4,139685320706224
setup,speech-inference,rpi4_4,139685320706224
finish,speech-inference,rpi4_4,139685320706224
startup,resnet50-inference,tx2_1,139685322455456
setup,resnet50-inference,tx2_1,139685322455456
finish,resnet50-inference,tx2_1,139685322455456
deploy,resnet50-inference,nx_4,139685312937216
deploy,speech-inference,rpi4_5,139685311171600
startup,speech-inference,rpi4_5,139685311171600
setup,speech-inference,rpi4_5,139685311171600
finish,speech-inference,rpi4_5,139685311171600
startup,resnet50-inference,nx_4,139685312937216
setup,resnet50-inference,nx_4,139685312937216
finish,resnet50-inference,nx_4,139685312937216
deploy,resnet50-inference,tx2_5,139685303447376
deploy,speech-inference,rpi4_12,139685303582240
startup,speech-inference,rpi4_12,139685303582240
setup,speech-inference,rpi4_12,139685303582240
finish,speech-inference,rpi4_12,139685303582240
startup,resnet50-inference,tx2_5,139685303447376
setup,resnet50-inference,tx2_5,139685303447376
finish,resnet50-inference,tx2_5,139685303447376
deploy,resnet50-inference,nano_18,139685293804608
deploy,speech-inference,rpi4_13,139685294037776
startup,speech-inference,rpi4_13,139685294037776
setup,speech-inference,rpi4_13,139685294037776
finish,speech-inference,rpi4_13,139685294037776
startup,resnet50-inference,nano_18,139685293804608
setup,resnet50-inference,nano_18,139685293804608
finish,resnet50-inference,nano_18,139685293804608
deploy,resnet50-inference,nano_43,139685284151984
deploy,speech-inference,nx_4,139685284336000
startup,speech-inference,nx_4,139685284336000
setup,speech-inference,nx_4,139685284336000
finish,speech-inference,nx_4,139685284336000
startup,resnet50-inference,nano_43,139685284151984
setup,resnet50-inference,nano_43,139685284151984
finish,resnet50-inference,nano_43,139685284151984
deploy,resnet50-inference,nano_48,139685274818720
deploy,speech-inference,coral_6,139685275019120
startup,speech-inference,coral_6,139685275019120
setup,speech-inference,coral_6,139685275019120
finish,speech-inference,coral_6,139685275019120
startup,resnet50-inference,nano_48,139685274818720
setup,resnet50-inference,nano_48,139685274818720
finish,resnet50-inference,nano_48,139685274818720
deploy,resnet50-inference,nano_49,139685265254256
deploy,speech-inference,rockpi_16,139685265454656
startup,speech-inference,rockpi_16,139685265454656
setup,speech-inference,rockpi_16,139685265454656
finish,speech-inference,rockpi_16,139685265454656
startup,resnet50-inference,nano_49,139685265254256
setup,resnet50-inference,nano_49,139685265254256
finish,resnet50-inference,nano_49,139685265254256
deploy,resnet50-inference,tx2_13,139685255727136
deploy,speech-inference,rockpi_16,139685255894768
startup,speech-inference,rockpi_16,139685255894768
setup,speech-inference,rockpi_16,139685255894768
finish,speech-inference,rockpi_16,139685255894768
startup,resnet50-inference,tx2_13,139685255727136
setup,resnet50-inference,tx2_13,139685255727136
finish,resnet50-inference,tx2_13,139685255727136
deploy,resnet50-inference,tx2_19,139685278328496
deploy,speech-inference,rockpi_5,139685246373696
startup,speech-inference,rockpi_5,139685246373696
setup,speech-inference,rockpi_5,139685246373696
finish,speech-inference,rockpi_5,139685246373696
startup,resnet50-inference,tx2_19,139685278328496
setup,resnet50-inference,tx2_19,139685278328496
finish,resnet50-inference,tx2_19,139685278328496
deploy,resnet50-inference,nano_31,139685238602048
deploy,speech-inference,rockpi_5,139685236869200
startup,speech-inference,rockpi_5,139685236869200
setup,speech-inference,rockpi_5,139685236869200
finish,speech-inference,rockpi_5,139685236869200
startup,resnet50-inference,nano_31,139685238602048
setup,resnet50-inference,nano_31,139685238602048
finish,resnet50-inference,nano_31,139685238602048
deploy,resnet50-inference,nano_37,139685228993248
deploy,speech-inference,rpi3_3,139685227162032
startup,speech-inference,rpi3_3,139685227162032
setup,speech-inference,rpi3_3,139685227162032
finish,speech-inference,rpi3_3,139685227162032
startup,resnet50-inference,nano_37,139685228993248
setup,resnet50-inference,nano_37,139685228993248
finish,resnet50-inference,nano_37,139685228993248
deploy,resnet50-inference,nano_50,139685219416192
deploy,speech-inference,rpi3_4,139685217699728
startup,speech-inference,rpi3_4,139685217699728
setup,speech-inference,rpi3_4,139685217699728
finish,speech-inference,rpi3_4,139685217699728
startup,resnet50-inference,nano_50,139685219416192
setup,resnet50-inference,nano_50,139685219416192
finish,resnet50-inference,nano_50,139685219416192
deploy,resnet50-inference,nano_52,139685210179328
deploy,speech-inference,rpi3_5,139685208380880
startup,speech-inference,rpi3_5,139685208380880
setup,speech-inference,rpi3_5,139685208380880
finish,speech-inference,rpi3_5,139685208380880
startup,resnet50-inference,nano_52,139685210179328
setup,resnet50-inference,nano_52,139685210179328
finish,resnet50-inference,nano_52,139685210179328
deploy,resnet50-inference,tx2_4,139685198798112
deploy,speech-inference,rpi4_2,139685198982128
startup,speech-inference,rpi4_2,139685198982128
setup,speech-inference,rpi4_2,139685198982128
finish,speech-inference,rpi4_2,139685198982128
startup,resnet50-inference,tx2_4,139685198798112
setup,resnet50-inference,tx2_4,139685198798112
finish,resnet50-inference,tx2_4,139685198798112
deploy,resnet50-inference,nano_15,139685189481376
deploy,speech-inference,rpi4_3,139685189845680
startup,speech-inference,rpi4_3,139685189845680
setup,speech-inference,rpi4_3,139685189845680
