value,function_name,image,replica_id,node_name,successful
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,139685364198432,,
queue,speech-inference,faas-workloads/speech-inference-tflite,139685364199296,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,139685364198432,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,139685364198432,tx2_11,True
queue,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139685362394272,,
start,speech-inference,faas-workloads/speech-inference-tflite,139685364199296,,
finish,speech-inference,faas-workloads/speech-inference-tflite,139685364199296,rockpi_18,True
start,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139685362394272,,
finish,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139685362394272,rockpi_18,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,139685358911392,,
queue,speech-inference,faas-workloads/speech-inference-tflite,139685357178544,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,139685358911392,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,139685358911392,nano_12,True
start,speech-inference,faas-workloads/speech-inference-tflite,139685357178544,,
finish,speech-inference,faas-workloads/speech-inference-tflite,139685357178544,rpi4_0,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,139685349361696,,
queue,speech-inference,faas-workloads/speech-inference-tflite,139685349594864,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,139685349361696,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,139685349361696,nano_21,True
start,speech-inference,faas-workloads/speech-inference-tflite,139685349594864,,
finish,speech-inference,faas-workloads/speech-inference-tflite,139685349594864,rpi4_1,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,139685339595008,,
queue,speech-inference,faas-workloads/speech-inference-tflite,139685339828176,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,139685339595008,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,139685339595008,nano_46,True
start,speech-inference,faas-workloads/speech-inference-tflite,139685339828176,,
finish,speech-inference,faas-workloads/speech-inference-tflite,139685339828176,coral_9,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,139685330046160,,
queue,speech-inference,faas-workloads/speech-inference-tflite,139685330230176,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,139685330046160,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,139685330046160,tx2_0,True
start,speech-inference,faas-workloads/speech-inference-tflite,139685330230176,,
finish,speech-inference,faas-workloads/speech-inference-tflite,139685330230176,coral_11,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,139685322455456,,
queue,speech-inference,faas-workloads/speech-inference-tflite,139685320706224,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,139685322455456,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,139685322455456,tx2_1,True
start,speech-inference,faas-workloads/speech-inference-tflite,139685320706224,,
finish,speech-inference,faas-workloads/speech-inference-tflite,139685320706224,rpi4_4,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,139685312937216,,
queue,speech-inference,faas-workloads/speech-inference-tflite,139685311171600,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,139685312937216,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,139685312937216,nx_4,True
start,speech-inference,faas-workloads/speech-inference-tflite,139685311171600,,
finish,speech-inference,faas-workloads/speech-inference-tflite,139685311171600,rpi4_5,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,139685303447376,,
queue,speech-inference,faas-workloads/speech-inference-tflite,139685303582240,,
